epistemic_utility,smoothness_utility,aggregate_scalar_reward,unsupported_certainty_rate,calibrated_abstention_rate,selective_risk,coverage,ece,regime,noise_p,seed
0.8471666666666666,0.2301666666666667,0.5695166666666668,0.026239067055393587,0.9737609329446064,0.04609929078014184,0.47,0.016965587660665468,crs,0.1,10
0.7915,0.35966666666666663,0.5971750000000001,0.037463976945244955,0.962536023054755,0.15555555555555556,0.5625,0.12119136973628794,scalar,0.1,11
0.8528333333333333,0.24649999999999997,0.5799833333333333,0.037463976945244955,0.962536023054755,0.03460207612456748,0.4816666666666667,0.015537245397955396,crs,0.1,11
0.8046666666666666,0.2968333333333334,0.5761416666666667,0.026041666666666668,0.9739583333333334,0.15224358974358973,0.52,0.11009006465310994,scalar,0.1,12
0.8676666666666665,0.18241666666666664,0.5593041666666667,0.0234375,0.9765625,0.024714828897338403,0.43833333333333335,0.006071321377063886,crs,0.1,12
0.7879999999999999,0.36850000000000005,0.599225,0.023952095808383235,0.9760479041916168,0.15689149560117302,0.5683333333333334,0.12514123388113893,scalar,0.1,13
0.8471666666666667,0.2564166666666667,0.5813291666666667,0.020958083832335328,0.9790419161676647,0.04607508532423208,0.48833333333333334,0.0225166875431225,crs,0.1,13
0.7868333333333334,0.35033333333333333,0.5904083333333333,0.045714285714285714,0.9542857142857143,0.16041979010494753,0.5558333333333333,0.12440427928115427,scalar,0.1,14
0.8545,0.23566666666666664,0.576025,0.03428571428571429,0.9657142857142857,0.033391915641476276,0.4741666666666667,0.01720526794733577,crs,0.1,14
0.7965000000000001,0.298,0.572175,0.03225806451612903,0.967741935483871,0.15705128205128205,0.52,0.11616672361532288,scalar,0.2,0
0.856,0.19158333333333333,0.5570125,0.024193548387096774,0.9758064516129032,0.039399624765478425,0.44416666666666665,0.018416153460483052,crs,0.2,0
0.7956666666666666,0.30675,0.5756541666666667,0.023936170212765957,0.976063829787234,0.15822784810126583,0.5266666666666666,0.11970605225847128,scalar,0.2,1
0.8511666666666666,0.20525000000000002,0.5605041666666667,0.023936170212765957,0.976063829787234,0.04036697247706422,0.45416666666666666,0.01475921132014479,crs,0.2,1
0.7835000000000001,0.3340833333333333,0.5812625000000001,0.01977401129943503,0.980225988700565,0.1636085626911315,0.545,0.1190410942032831,scalar,0.2,2
0.8453333333333333,0.21483333333333335,0.5616083333333333,0.011299435028248588,0.9887005649717514,0.041666666666666664,0.46,0.02791425170328774,crs,0.2,2
0.8160000000000001,0.30491666666666667,0.5860124999999999,0.03197674418604651,0.9680232558139535,0.13694267515923567,0.5233333333333333,0.10014709319296303,scalar,0.2,3
0.8598333333333331,0.18675,0.5569458333333334,0.020348837209302327,0.9796511627906976,0.022770398481973434,0.43916666666666665,0.006932504690795054,crs,0.2,3
0.7871666666666666,0.3393333333333334,0.5856416666666666,0.022099447513812154,0.9779005524861878,0.16084977238239756,0.5491666666666667,0.12635086091913358,scalar,0.2,4
0.8491666666666666,0.23083333333333333,0.5709166666666667,0.022099447513812154,0.9779005524861878,0.045936395759717315,0.4716666666666667,0.023182496325226544,crs,0.2,4
0.8190000000000001,0.3125833333333333,0.5911125,0.016713091922005572,0.9832869080779945,0.13679245283018868,0.53,0.10063011408906894,scalar,0.2,5
0.8703333333333334,0.21441666666666662,0.5751708333333333,0.011142061281337047,0.9888579387186629,0.02717391304347826,0.46,0.01100226648902283,crs,0.2,5
0.7986666666666665,0.3006666666666667,0.5745666666666667,0.031161473087818695,0.9688385269121813,0.152,0.5208333333333334,0.11885818895866707,scalar,0.2,6
0.8538333333333332,0.19433333333333333,0.5570583333333333,0.025495750708215296,0.9745042492917847,0.0299625468164794,0.445,0.011672845131705023,crs,0.2,6
0.7843333333333333,0.3340833333333333,0.5817208333333334,0.033426183844011144,0.9665738161559888,0.16666666666666666,0.545,0.12878782342037942,scalar,0.2,7
0.8491666666666666,0.20083333333333334,0.5574166666666668,0.025069637883008356,0.9749303621169917,0.03148148148148148,0.45,0.009554636664200793,crs,0.2,7
0.8025,0.3,0.5763750000000001,0.024128686327077747,0.9758713136729222,0.15335463258785942,0.5216666666666666,0.1147717379376053,scalar,0.2,8
0.865,0.19708333333333333,0.5644375,0.0160857908847185,0.9839142091152815,0.03903345724907063,0.4483333333333333,0.027607113171533543,crs,0.2,8
0.786,0.31116666666666665,0.5723250000000001,0.03783783783783784,0.9621621621621622,0.16692913385826771,0.5291666666666667,0.13495972815809426,scalar,0.2,9
0.8399999999999999,0.2025,0.553125,0.032432432432432434,0.9675675675675676,0.04981549815498155,0.45166666666666666,0.022237132145345787,crs,0.2,9
0.788,0.34099999999999997,0.58685,0.026239067055393587,0.9737609329446064,0.16084977238239756,0.5491666666666667,0.12192241825932514,scalar,0.2,10
0.8464999999999999,0.23133333333333336,0.5696750000000002,0.026239067055393587,0.9737609329446064,0.047787610619469026,0.4708333333333333,0.018257110711308925,crs,0.2,10
0.7935,0.35616666666666663,0.5967,0.037463976945244955,0.962536023054755,0.15327380952380953,0.56,0.11904930809570068,scalar,0.2,11
0.8528333333333333,0.24649999999999997,0.5799833333333333,0.037463976945244955,0.962536023054755,0.03460207612456748,0.4816666666666667,0.01660755939813028,crs,0.2,11
0.8068333333333334,0.29324999999999996,0.5757208333333333,0.0234375,0.9765625,0.1497584541062802,0.5175,0.10707544641540556,scalar,0.2,12
0.8670000000000001,0.18358333333333335,0.5594625,0.0234375,0.9765625,0.026565464895635674,0.43916666666666665,0.00877581101198688,crs,0.2,12
0.7893333333333333,0.36616666666666664,0.5989083333333334,0.023952095808383235,0.9760479041916168,0.15588235294117647,0.5666666666666667,0.12284459342451784,scalar,0.2,13
0.8471666666666667,0.2564166666666667,0.5813291666666667,0.020958083832335328,0.9790419161676647,0.04607508532423208,0.48833333333333334,0.020766709051745255,crs,0.2,13
0.7883333333333333,0.3491666666666667,0.5907083333333334,0.045714285714285714,0.9542857142857143,0.15915915915915915,0.555,0.12161115586776101,scalar,0.2,14
0.8545,0.23566666666666664,0.576025,0.03428571428571429,0.9657142857142857,0.033391915641476276,0.4741666666666667,0.01664510800935173,crs,0.2,14
0.7986666666666667,0.29441666666666666,0.5717541666666667,0.02956989247311828,0.9704301075268817,0.15458937198067632,0.5175,0.11624785838510225,scalar,0.3,0
0.856,0.19033333333333333,0.55645,0.021505376344086023,0.978494623655914,0.039473684210526314,0.44333333333333336,0.01870310875943391,crs,0.3,0
0.7969999999999999,0.30441666666666667,0.5753375,0.023936170212765957,0.976063829787234,0.15714285714285714,0.525,0.1177277348136112,scalar,0.3,1
0.8514999999999999,0.20758333333333334,0.5617375,0.023936170212765957,0.976063829787234,0.04204753199268738,0.4558333333333333,0.015054694894655687,crs,0.3,1
0.787,0.3294166666666667,0.5810875000000001,0.01977401129943503,0.980225988700565,0.15846153846153846,0.5416666666666666,0.1137231473187512,scalar,0.3,2
