seed,train_mix,eval_mix,regime,epistemic_utility,smoothness_utility,aggregate_scalar_reward,unsupported_certainty_rate,calibrated_abstention_rate,selective_risk,coverage,ece
4,standard,high_insuff,scalar,0.8846666666666667,-0.06799999999999999,0.4559666666666667,0.03329752953813104,0.966702470461869,0.1619047619047619,0.28,0.11929386603281009
4,standard,high_insuff,crs,0.9205333333333334,-0.12726666666666664,0.4490233333333334,0.02577873254564984,0.9742212674543501,0.047619047619047616,0.238,0.022876280402610756
4,standard,high_suff,scalar,0.7238666666666667,0.5284,0.6359066666666667,0.034055727554179564,0.9659442724458205,0.1848574237954769,0.678,0.16292580830853748
4,standard,high_suff,crs,0.7972,0.39373333333333327,0.6156400000000001,0.021671826625386997,0.978328173374613,0.06300114547537228,0.582,0.044491190664843215
4,standard,balanced,scalar,0.8043999999999999,0.19513333333333333,0.53023,0.0425531914893617,0.9574468085106383,0.1664190193164933,0.44866666666666666,0.13123147126881518
4,standard,balanced,crs,0.8513333333333334,0.10333333333333333,0.5147333333333334,0.03288201160541586,0.9671179883945842,0.06260869565217392,0.38333333333333336,0.03438180221094225
4,standard,ambiguous_heavy,scalar,0.8072000000000001,0.18306666666666668,0.52634,0.034055727554179564,0.9659442724458205,0.1391035548686244,0.43133333333333335,0.08895497267210539
4,standard,ambiguous_heavy,crs,0.8533333333333334,0.096,0.5125333333333333,0.021671826625386997,0.978328173374613,0.05054151624548736,0.36933333333333335,0.01949173540259668
4,high_insuff,high_insuff,scalar,0.9102666666666668,-0.028800000000000003,0.4876866666666668,0.035398230088495575,0.9646017699115044,0.10652173913043478,0.30666666666666664,0.06000152909135944
4,high_insuff,high_insuff,crs,0.8928,-0.004066666666666666,0.4892100000000001,0.0586283185840708,0.9413716814159292,0.12783505154639174,0.3233333333333333,0.08948782953898643
4,high_suff,high_suff,scalar,0.7267999999999999,0.5449333333333333,0.6449600000000001,0.03355704697986577,0.9664429530201343,0.18102613746369797,0.6886666666666666,0.16104038654316047
4,high_suff,high_suff,crs,0.8074000000000001,0.417,0.6317200000000001,0.030201342281879196,0.9697986577181208,0.11652542372881355,0.6293333333333333,0.052433358936308815
4,balanced,balanced,scalar,0.8285333333333335,0.22673333333333334,0.5577233333333333,0.03495145631067961,0.9650485436893204,0.1371994342291372,0.4713333333333333,0.09580557575403052
4,balanced,balanced,crs,0.8786666666666667,0.14266666666666666,0.5474666666666667,0.03300970873786408,0.9669902912621359,0.03565640194489465,0.41133333333333333,0.01191773168076667
4,ambiguous_heavy,ambiguous_heavy,scalar,0.8250666666666666,0.21280000000000002,0.5495466666666667,0.040268456375838924,0.959731543624161,0.10782865583456426,0.4513333333333333,0.060691699262334975
4,ambiguous_heavy,ambiguous_heavy,crs,0.8690666666666668,0.13613333333333336,0.5392466666666667,0.03355704697986577,0.9664429530201343,0.030252100840336135,0.39666666666666667,0.015583539474979976
5,standard,standard,scalar,0.7901333333333334,0.3132666666666667,0.5755433333333334,0.043010752688172046,0.956989247311828,0.16457286432160803,0.5306666666666666,0.120349047018239
5,standard,standard,crs,0.8592,0.1794,0.5532900000000001,0.030107526881720432,0.9698924731182795,0.03522205206738132,0.43533333333333335,0.01178780803044422
5,standard,high_insuff,scalar,0.894,-0.043666666666666666,0.4720500000000001,0.03540772532188841,0.9645922746781116,0.14349775784753363,0.29733333333333334,0.1051068133542217
5,standard,high_insuff,crs,0.9272000000000001,-0.10859999999999999,0.46109000000000017,0.02682403433476395,0.973175965665236,0.026525198938992044,0.25133333333333335,0.011050689009904394
5,standard,high_suff,scalar,0.7436,0.5468666666666666,0.65507,0.05642633228840126,0.9435736677115988,0.16891891891891891,0.6906666666666667,0.14051878741963703
5,standard,high_suff,crs,0.8222666666666667,0.3915333333333333,0.6284366666666666,0.03761755485893417,0.9623824451410659,0.03908045977011494,0.58,0.021034336084473224
5,standard,balanced,scalar,0.8070666666666666,0.2408,0.5522466666666668,0.04431599229287091,0.9556840077071291,0.16066481994459833,0.48133333333333334,0.11439017909371701
5,standard,balanced,crs,0.8704,0.12279999999999999,0.53398,0.03275529865125241,0.9672447013487476,0.03691275167785235,0.3973333333333333,0.010384155322219911
5,standard,ambiguous_heavy,scalar,0.7946666666666666,0.23233333333333334,0.5416166666666666,0.05642633228840126,0.9435736677115988,0.14878397711015737,0.466,0.08499329129324484
5,standard,ambiguous_heavy,crs,0.8656,0.10686666666666668,0.5241699999999999,0.03761755485893417,0.9623824451410659,0.02654867256637168,0.37666666666666665,0.010588433584013785
5,high_insuff,high_insuff,scalar,0.8752000000000001,-0.002266666666666661,0.48034000000000004,0.041189931350114416,0.9588100686498856,0.15432098765432098,0.324,0.0962544796919455
5,high_insuff,high_insuff,crs,0.8709333333333332,0.006533333333333336,0.4819533333333334,0.04805491990846682,0.9519450800915332,0.15757575757575756,0.33,0.12359414646190925
5,high_suff,high_suff,scalar,0.7109333333333334,0.5708666666666666,0.6479033333333334,0.03663003663003663,0.9633699633699634,0.18791312559017942,0.706,0.16165347921090675
5,high_suff,high_suff,crs,0.7993999999999999,0.4189333333333333,0.62819,0.03296703296703297,0.967032967032967,0.08540540540540541,0.6166666666666667,0.027118184716254507
5,balanced,balanced,scalar,0.8026666666666666,0.25833333333333336,0.5577166666666667,0.039603960396039604,0.9603960396039604,0.1608108108108108,0.49333333333333335,0.11805104761859496
5,balanced,balanced,crs,0.8601333333333334,0.15726666666666667,0.5438433333333333,0.031683168316831684,0.9683168316831683,0.05063291139240506,0.42133333333333334,0.03231382412453747
5,ambiguous_heavy,ambiguous_heavy,scalar,0.8017333333333333,0.23313333333333336,0.5458633333333334,0.04395604395604396,0.9560439560439561,0.13055954088952654,0.4646666666666667,0.07802553693904304
5,ambiguous_heavy,ambiguous_heavy,crs,0.8546666666666667,0.13866666666666663,0.5324666666666666,0.03296703296703297,0.967032967032967,0.040268456375838924,0.3973333333333333,0.020394361697276056
6,standard,standard,scalar,0.7568,0.3229333333333333,0.5615600000000001,0.02654867256637168,0.9734513274336283,0.19230769230769232,0.5373333333333333,0.15146664368022045
6,standard,standard,crs,0.8336666666666667,0.20859999999999998,0.5523866666666667,0.01991150442477876,0.9800884955752213,0.11608391608391608,0.4766666666666667,0.05530785652611835
6,standard,high_insuff,scalar,0.884,-0.05899999999999999,0.4596500000000001,0.028353326063249727,0.9716466739367503,0.16083916083916083,0.286,0.11610203056525839
6,standard,high_insuff,crs,0.9185333333333334,-0.11459999999999998,0.45362333333333343,0.021810250817884406,0.9781897491821155,0.08923884514435695,0.254,0.04058617789854746
6,standard,high_suff,scalar,0.71,0.5353333333333333,0.6314,0.022364217252396165,0.9776357827476039,0.193359375,0.6826666666666666,0.1683709370297924
6,standard,high_suff,crs,0.7930666666666666,0.41,0.6206866666666666,0.01597444089456869,0.9840255591054313,0.13020277481323372,0.6246666666666667,0.06257052460369152
6,standard,balanced,scalar,0.7908000000000001,0.25126666666666664,0.54801,0.028397565922920892,0.9716024340770791,0.17349726775956284,0.488,0.12990130264162042
6,standard,balanced,crs,0.8550666666666666,0.1528,0.5390466666666667,0.02231237322515213,0.9776876267748479,0.10015408320493066,0.43266666666666664,0.05412925640417657
6,standard,ambiguous_heavy,scalar,0.8,0.218,0.5381,0.022364217252396165,0.9776357827476039,0.14473684210526316,0.456,0.08754691292752792
6,standard,ambiguous_heavy,crs,0.8601333333333335,0.1216,0.5277933333333333,0.01597444089456869,0.9840255591054313,0.06756756756756757,0.39466666666666667,0.028353806868733556
6,high_insuff,high_insuff,scalar,0.8744,-0.004533333333333323,0.4788800000000001,0.051685393258426963,0.9483146067415731,0.15289256198347106,0.32266666666666666,0.10009550515587813
6,high_insuff,high_insuff,crs,0.8629333333333334,0.0062000000000000085,0.47740333333333335,0.05955056179775281,0.9404494382022472,0.16565656565656567,0.33,0.12981973316765094
6,high_suff,high_suff,scalar,0.7033333333333334,0.5616666666666666,0.6395833333333333,0.05172413793103448,0.9482758620689655,0.19523809523809524,0.7,0.17245057826194402
