epistemic_utility,smoothness_utility,aggregate_scalar_reward,unsupported_certainty_rate,calibrated_abstention_rate,selective_risk,coverage,ece,tau,seed,final_lambda
-0.03111111111111111,1.0,0.43288888888888893,1.0,0.0,0.5155555555555555,1.0,0.5107936164374478,0.0,29,0.5252118389423075
-0.08888888888888889,1.0,0.4011111111111111,1.0,0.0,0.5444444444444444,1.0,0.5246781797085467,0.1,0,1.1630078124999992
-0.13333333333333333,1.0,0.37666666666666665,1.0,0.0,0.5666666666666667,1.0,0.5437584204379731,0.1,1,0.3820612980769209
-0.03777777777777778,1.0,0.4292222222222222,1.0,0.0,0.5188888888888888,1.0,0.5062405658522099,0.1,2,0.6258443509615383
-0.022222222222222223,0.9666666666666667,0.42277777777777775,0.9239543726235742,0.07604562737642585,0.5227272727272727,0.9777777777777777,0.4765381644759983,0.1,3,0.1859735576923082
-0.10222222222222223,1.0,0.3937777777777777,1.0,0.0,0.5511111111111111,1.0,0.5365233746281131,0.1,4,0.5539843750000006
0.2886666666666667,0.7167777777777778,0.4813166666666667,0.37174721189591076,0.6282527881040892,0.4383561643835616,0.8111111111111111,0.3874588196481833,0.1,5,0.13987980769230932
-0.09111111111111111,0.995,0.3976388888888889,0.9881422924901185,0.011857707509881422,0.5473801560758083,0.9966666666666667,0.5240552096521622,0.1,6,0.2278981370192314
-0.12444444444444444,1.0,0.38155555555555554,1.0,0.0,0.5622222222222222,1.0,0.540044480309181,0.1,7,0.2523707932692334
-0.057777777777777775,0.99,0.41372222222222227,0.9773584905660377,0.022641509433962263,0.5324384787472036,0.9933333333333333,0.49752513409821186,0.1,8,1.262175480769231
0.057777777777777775,0.9083333333333333,0.4405277777777778,0.7977941176470589,0.20220588235294118,0.5017751479289941,0.9388888888888889,0.4413081948480442,0.1,9,0.19171874999999838
-0.08666666666666667,0.995,0.4000833333333334,0.9891304347826086,0.010869565217391304,0.5451505016722408,0.9966666666666667,0.5174559129969445,0.1,10,0.23914212740384577
0.5188888888888888,0.5838888888888889,0.548138888888889,0.06130268199233716,0.9386973180076629,0.3323076923076923,0.7222222222222222,0.2812547640894817,0.1,11,1.3452253605769227
-0.1,1.0,0.395,1.0,0.0,0.55,1.0,0.5308711192825594,0.1,12,0.21705528846154
0.4968888888888889,0.5471111111111111,0.519488888888889,0.04964539007092199,0.950354609929078,0.35987261146496813,0.6977777777777778,0.30185303488285864,0.1,13,1.010446213942309
-0.03777777777777778,0.9983333333333333,0.4284722222222222,0.9961685823754789,0.0038314176245210726,0.5194660734149055,0.9988888888888889,0.5020172240113421,0.1,14,0.5208939302884587
-0.13333333333333333,0.9966666666666667,0.37516666666666665,0.9929577464788732,0.007042253521126761,0.5679287305122495,0.9977777777777778,0.5449648894048008,0.1,15,0.7884540264423062
-0.06,1.0,0.4170000000000001,1.0,0.0,0.53,1.0,0.5033296225945082,0.1,16,0.17769080528846073
-0.09555555555555556,0.9966666666666667,0.3959444444444445,0.992619926199262,0.007380073800738007,0.5489977728285078,0.9977777777777778,0.5154576996113749,0.1,17,0.4015970552884611
-0.044444444444444446,1.0,0.4255555555555556,1.0,0.0,0.5222222222222223,1.0,0.5078452089108483,0.1,18,0.4862860576923055
-0.11777777777777777,1.0,0.3852222222222223,1.0,0.0,0.5588888888888889,1.0,0.542325154303293,0.1,19,0.6122040264423075
0.18844444444444444,0.791888888888889,0.45999444444444454,0.5669014084507042,0.43309859154929575,0.47096774193548385,0.8611111111111112,0.3981550933807847,0.1,20,0.12541015624999755
-0.11555555555555555,0.9916666666666667,0.38269444444444445,0.9814126394052045,0.01858736059479554,0.5608938547486033,0.9944444444444445,0.5239072823353905,0.1,21,1.2311673677884611
